NOMBRE PARQUE;ESPECIE;UNIDADES 2023;;
JARDINES DE SABATINI;Acer pseudoplatanus;3;;
JARDINES DE SABATINI;Cercis siliquastrum;1;;
JARDINES DE SABATINI;Populus alba 'Bolleana';1;;
JARDINES DE SABATINI;Ulmus minor;1;;
;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Celtis australis;1855;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Morus alba 'Fruitless';456;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Koelreuteria paniculata;374;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Fraxinus angustifolia;287;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Prunus dulcis;258;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Olea europaea;163;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Pinus pinea;126;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Cercis siliquastrum;119;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Aesculus hippocastanum;112;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Pyrus calleryana 'Chanticleer';96;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Otros;2080;;
;;;;
;;;;
;;;;
;;;;
NOTA: ;;;;
En este fichero unicamente figuran los datos del arbolado que está individualizado, pie a pie, en cada uno de los parques. ;;;;
Los árboles situados en masas arbóresas o forestales no se incluyen aquí. Sus datos se recogen en el fichero de Masas arbóreas parques históricos, singulares y forestales;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
