route,seg_index,lat_a,lon_a,lat_b,lon_b,seg_len_m,start_node,end_node,classification,notes
B,43,40.407449,-3.689414,40.407522,-3.689338,10.4,2046029864,2046029944,VERIFIED,"controlled crossing at node 2046029944 (crossing=traffic_signals, markings=dots, signals=None)"
B,44,40.407522,-3.689338,40.407575,-3.689279,7.7,2046029944,13103334096,VERIFIED,continuous mapped footway/pedestrian way
B,45,40.407575,-3.689279,40.407609,-3.689244,4.9,13103334096,2667469336,VERIFIED,continuous mapped footway/pedestrian way
B,46,40.407609,-3.689244,40.40757,-3.689136,10.1,2667469336,6533545007,VERIFIED,continuous mapped footway/pedestrian way
B,47,40.40757,-3.689136,40.407508,-3.689029,11.4,6533545007,11822278111,VERIFIED,continuous mapped footway/pedestrian way
B,48,40.407508,-3.689029,40.407475,-3.688972,6.0,11822278111,2667468920,VERIFIED,continuous mapped footway/pedestrian way
B,49,40.407475,-3.688972,40.407502,-3.68888,8.3,2667468920,2667469334,VERIFIED,continuous mapped footway/pedestrian way
B,50,40.407502,-3.68888,40.407541,-3.688762,10.9,2667469334,6244878954,VERIFIED,continuous mapped footway/pedestrian way
B,51,40.407541,-3.688762,40.409304,-3.688831,196.2,6244878954,6244878953,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 196 m straight OSM edge, exact walked line approximate"
B,52,40.409304,-3.688831,40.409302,-3.68879,3.5,6244878953,1727199786,VERIFIED,"controlled crossing at node 1727199786 (crossing=traffic_signals, markings=dots, signals=None)"
B,53,40.409302,-3.68879,40.409304,-3.688606,15.5,1727199786,1727199775,VERIFIED,"controlled crossing at node 1727199775 (crossing=traffic_signals, markings=dots, signals=None)"
B,54,40.409304,-3.688606,40.409304,-3.688546,5.1,1727199775,3964130707,VERIFIED,continuous mapped footway/pedestrian way
B,55,40.409304,-3.688546,40.409437,-3.688554,14.8,3964130707,3964130745,VERIFIED,continuous mapped footway/pedestrian way
B,56,40.409437,-3.688554,40.409481,-3.688552,4.9,3964130745,3964130750,VERIFIED,continuous mapped footway/pedestrian way
B,57,40.409481,-3.688552,40.40955,-3.688543,7.7,3964130750,3964130767,VERIFIED,continuous mapped footway/pedestrian way
B,58,40.40955,-3.688543,40.409576,-3.688525,3.3,3964130767,3964130770,VERIFIED,continuous mapped footway/pedestrian way
B,59,40.409576,-3.688525,40.40962,-3.688487,5.8,3964130770,3964130779,VERIFIED,continuous mapped footway/pedestrian way
B,60,40.40962,-3.688487,40.409689,-3.688465,7.9,3964130779,3964130789,VERIFIED,continuous mapped footway/pedestrian way
B,61,40.409689,-3.688465,40.409767,-3.688479,8.8,3964130789,3964130797,VERIFIED,continuous mapped footway/pedestrian way
B,62,40.409767,-3.688479,40.409805,-3.688502,4.7,3964130797,3964130800,VERIFIED,continuous mapped footway/pedestrian way
B,63,40.409805,-3.688502,40.409872,-3.688565,9.2,3964130800,3964130808,VERIFIED,continuous mapped footway/pedestrian way
B,64,40.409872,-3.688565,40.409898,-3.688576,3.0,3964130808,3964130810,VERIFIED,continuous mapped footway/pedestrian way
B,65,40.409898,-3.688576,40.409926,-3.688576,3.1,3964130810,3964130816,VERIFIED,continuous mapped footway/pedestrian way
B,66,40.409926,-3.688576,40.410946,-3.688614,113.5,3964130816,3964130819,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 113 m straight OSM edge, exact walked line approximate"
B,67,40.410946,-3.688614,40.412094,-3.688659,127.8,3964130819,3964130820,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 128 m straight OSM edge, exact walked line approximate"
B,68,40.412094,-3.688659,40.412609,-3.688682,57.2,3964130820,3964130825,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 57 m straight OSM edge, exact walked line approximate"
B,69,40.412609,-3.688682,40.412791,-3.688692,20.2,3964130825,3964130826,VERIFIED,continuous mapped footway/pedestrian way
B,70,40.412791,-3.688692,40.413618,-3.688719,92.1,3964130826,3964130829,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 92 m straight OSM edge, exact walked line approximate"
B,71,40.413618,-3.688719,40.414534,-3.688757,101.9,3964130829,3964130831,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 102 m straight OSM edge, exact walked line approximate"
B,72,40.414534,-3.688757,40.415186,-3.688782,72.5,3964130831,3964130837,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 72 m straight OSM edge, exact walked line approximate"
B,73,40.415186,-3.688782,40.415185,-3.688796,1.2,3964130837,3964130836,VERIFIED,continuous mapped footway/pedestrian way
B,74,40.415185,-3.688796,40.415184,-3.688845,4.1,3964130836,3964130835,VERIFIED,"controlled crossing at node 3964130835 (crossing=traffic_signals, markings=dots, signals=None)"
B,75,40.415184,-3.688845,40.415185,-3.688796,4.1,3964130835,3964130836,VERIFIED,continuous mapped footway/pedestrian way
B,76,40.415185,-3.688796,40.415186,-3.688782,1.2,3964130836,3964130837,VERIFIED,continuous mapped footway/pedestrian way
B,77,40.415186,-3.688782,40.415274,-3.688784,9.8,3964130837,3964130838,VERIFIED,continuous mapped footway/pedestrian way
B,78,40.415274,-3.688784,40.416444,-3.688835,130.2,3964130838,3964130841,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 130 m straight OSM edge, exact walked line approximate"
B,79,40.416444,-3.688835,40.416651,-3.688821,23.0,3964130841,3964130842,VERIFIED,continuous mapped footway/pedestrian way
B,80,40.416651,-3.688821,40.416711,-3.688813,6.7,3964130842,3964130844,VERIFIED,continuous mapped footway/pedestrian way
B,81,40.416711,-3.688813,40.41677,-3.688811,6.6,3964130844,3964130845,VERIFIED,continuous mapped footway/pedestrian way
B,82,40.41677,-3.688811,40.416847,-3.688817,8.6,3964130845,3964130846,VERIFIED,continuous mapped footway/pedestrian way
B,83,40.416847,-3.688817,40.416861,-3.688819,1.5,3964130846,3964130847,VERIFIED,continuous mapped footway/pedestrian way
B,84,40.416861,-3.688819,40.416902,-3.688822,4.6,3964130847,3964130852,VERIFIED,continuous mapped footway/pedestrian way
B,85,40.416902,-3.688822,40.417332,-3.688783,48.0,3964130852,3964130853,VERIFIED,continuous mapped footway/pedestrian way
B,86,40.417332,-3.688783,40.418694,-3.688665,151.8,3964130853,3964130855,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 152 m straight OSM edge, exact walked line approximate"
B,87,40.418694,-3.688665,40.41919,-3.68862,55.2,3964130855,3964130960,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 55 m straight OSM edge, exact walked line approximate"
B,88,40.41919,-3.68862,40.41929,-3.688601,11.2,3964130960,3964130962,VERIFIED,continuous mapped footway/pedestrian way
B,89,40.41929,-3.688601,40.419319,-3.688592,3.4,3964130962,3964130964,VERIFIED,continuous mapped footway/pedestrian way
B,90,40.419319,-3.688592,40.419363,-3.688554,5.8,3964130964,3964130969,VERIFIED,continuous mapped footway/pedestrian way
B,91,40.419363,-3.688554,40.419354,-3.68861,4.9,3964130969,3964130968,VERIFIED,continuous mapped footway/pedestrian way
B,92,40.419354,-3.68861,40.419348,-3.688667,4.9,3964130968,2005647258,VERIFIED,"controlled crossing at node 2005647258 (crossing=traffic_signals, markings=None, signals=None)"
B,93,40.419348,-3.688667,40.419345,-3.688728,5.1,2005647258,3964130965,VERIFIED,continuous mapped footway/pedestrian way
B,94,40.419345,-3.688728,40.419345,-3.688765,3.1,3964130965,3964130967,VERIFIED,continuous mapped footway/pedestrian way
B,95,40.419345,-3.688765,40.419349,-3.68883,5.5,3964130967,2005647240,VERIFIED,"controlled crossing at node 2005647240 (crossing=traffic_signals, markings=None, signals=None)"
B,96,40.419349,-3.68883,40.419355,-3.688888,5.0,2005647240,7326907272,VERIFIED,continuous mapped footway/pedestrian way
B,97,40.419355,-3.688888,40.419392,-3.689054,14.6,7326907272,4140937599,VERIFIED,continuous mapped footway/pedestrian way
B,98,40.419392,-3.689054,40.419456,-3.689206,14.7,4140937599,4140937598,VERIFIED,continuous mapped footway/pedestrian way
B,99,40.419456,-3.689206,40.419542,-3.689336,14.7,4140937598,4140937597,VERIFIED,continuous mapped footway/pedestrian way
B,100,40.419542,-3.689336,40.419649,-3.689439,14.6,4140937597,4140937596,VERIFIED,continuous mapped footway/pedestrian way
B,101,40.419649,-3.689439,40.419742,-3.689518,12.4,4140937596,7326907273,VERIFIED,continuous mapped footway/pedestrian way
B,102,40.419742,-3.689518,40.419822,-3.689537,8.9,7326907273,29275251,VERIFIED,"controlled crossing at node 29275251 (crossing=traffic_signals, markings=None, signals=None)"
B,103,40.419822,-3.689537,40.419861,-3.689546,4.5,29275251,3964131015,VERIFIED,continuous mapped footway/pedestrian way
B,104,40.419861,-3.689546,40.419878,-3.68955,1.9,3964131015,3964131022,VERIFIED,continuous mapped footway/pedestrian way
B,105,40.419878,-3.68955,40.41992,-3.689559,4.7,3964131022,29275281,VERIFIED,"controlled crossing at node 29275281 (crossing=traffic_signals, markings=None, signals=None)"
B,106,40.41992,-3.689559,40.420006,-3.689579,9.7,29275281,4140937595,VERIFIED,continuous mapped footway/pedestrian way
B,107,40.420006,-3.689579,40.420146,-3.689507,16.8,4140937595,4140937594,VERIFIED,continuous mapped footway/pedestrian way
B,108,40.420146,-3.689507,40.420226,-3.689465,9.6,4140937594,11918409312,VERIFIED,continuous mapped footway/pedestrian way
B,109,40.420226,-3.689465,40.420252,-3.689449,3.2,11918409312,4140937593,VERIFIED,"controlled crossing at node 4140937593 (crossing=uncontrolled, markings=zebra, signals=None)"
B,110,40.420252,-3.689449,40.420212,-3.689348,9.7,4140937593,13930993134,VERIFIED,continuous mapped footway/pedestrian way
B,111,40.420212,-3.689348,40.420183,-3.689267,7.5,13930993134,26485808,VERIFIED,continuous mapped footway/pedestrian way
B,112,40.420183,-3.689267,40.420156,-3.689169,8.9,26485808,2615463410,VERIFIED,continuous mapped footway/pedestrian way
B,113,40.420156,-3.689169,40.419987,-3.688724,42.1,2615463410,OD,VERIFIED WITH UNCERTAINTY,O-D endpoint access snap (station concourse / monument island)
