scenario,asset_id,name,timestamp,tmrt_mean_10m,utci_mean_10m,utci_category,feasibility_this_scenario,feasibility_phase2_baseline,feasibility_phase1_proxy,utci_delta_vs_baseline,decision_changed_vs_phase2_baseline
SENS_A_minus10pct,A24,La Rosaleda,12:00,62.8,39.7,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-0.7,False
SENS_A_minus10pct,A25,Jardín del Parterre,12:00,62.4,39.6,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-0.7,False
SENS_A_minus10pct,A26,Monumento a Alfonso XII,12:00,51.9,37.2,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.3,False
SENS_A_minus10pct,A27,Jardines del Arquitecto Herrero Palacios,12:00,51.8,37.1,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-0.5,False
SENS_A_minus10pct,A14,Puerta de Alcalá,15:00,47.4,40.6,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.1,False
SENS_A_minus10pct,A15,Fuente de Cibeles,15:00,58.9,43.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-1.0,False
SENS_A_minus10pct,A16,Fuente de Neptuno,15:00,63.0,44.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.6,False
SENS_A_minus10pct,A17,Estatua de Goya,15:00,53.8,42.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.5,False
SENS_A_minus10pct,A18,Palacio de Cibeles - Ayuntamiento de Madrid,15:00,61.8,44.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.4,False
SENS_A_minus10pct,A19,Real Observatorio de Madrid,15:00,50.2,41.2,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.2,False
